strain	database_strain	accession	date	authors
A/Caen/1/1984	A/Caen/1/84	EPI_ISL_901	1984-01-01	
A/Daejeon/390/2002	A/Daejeon/390/2002	EPI_ISL_3928	2002-11-27	
A/ChristChurch/28/2003	A/Christchurch/28/2003	EPI_ISL_11942	2003-06-24	
A/Anhui/1238/2005	A/ANHUI/1238/2005	EPI_ISL_17358	2005-08-23	
A/Anhui/1239/2005	A/ANHUI/1239/2005	EPI_ISL_17359	2005-08-23	
A/Brazil/1742/2005	A/BRAZIL/1742/2005	EPI_ISL_17364	2005-07-07	
A/Beijing/51/2002	A/Beijing/51/2002	EPI_ISL_18407	2002-12-20	
A/Canada/578/2004	A/Canada/578/2004	EPI_ISL_21872	2004-05-09	
A/Brisbane/24/2008	A/Brisbane/24/2008	EPI_ISL_23848	2008-06-23	Queensland_Health_Forensic_and_Scientific_Services
A/England/669/2008	A/England/669/2008	EPI_ISL_61706	2008-12-30	UK_Health_Security_Agency_-_Colindale
A/England/687/2008	A/England/687/2008	EPI_ISL_61707	2008-12-30	UK_Health_Security_Agency_-_Colindale
A/Algeria/G202/2009	A/Algeria/G202/2009	EPI_ISL_61769	2008-12-23	Institut_Pasteur_d'Algerie
A/BadenWuerttemberg/38/2005	A/Baden-Wurttemberg/38/2005	EPI_ISL_64611	2005-02-09	
A/Cameroon/675/2009	A/Cameroon/675/2009	EPI_ISL_77111	2009-11-11	Centre_Pasteur_du_Cameroun
A/Brisbane/11/2010	A/BRISBANE/11/2010	EPI_ISL_78688	2010-05-26	Queensland_Health_Forensic_and_Scientific_Services
A/Alabama/5/2010	A/Alabama/05/2010	EPI_ISL_81372	2010-07-13	Centers_for_Disease_Control_and_Prevention
A/Bilthoven/1761/1976	A/Bilthoven/1761/1976	EPI_ISL_84896	1976-01-01	
A/Bilthoven/21793/1972	A/Bilthoven/21793/1972	EPI_ISL_84900	1972-01-01	
A/Alaska/5/2010	A/ALASKA/5/2010	EPI_ISL_88045	2010-08-12	Centers_for_Disease_Control_and_Prevention
A/Durban/92/2011	A/Durban/92/2011	EPI_ISL_96032	2011-06-15	National_Institute_for_Communicable_Disease
A/Bangladesh/5071/2011	A/Bangladesh/5071/2011	EPI_ISL_99069	2011-05-19	icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh
A/Bratislava/31/2011	A/Bratislava/31/2011	EPI_ISL_99869	2011-11-03	National_Public_Health_Institute_of_Slovakia
A/Brisbane/10/2007	A/Brisbane/10/2007	EPI_ISL_110723	2007-01-01	
A/Bilthoven/15793/1968	A/Bilthoven/15793/1968	EPI_ISL_110734	1968-01-01	
A/Bilthoven/16398/1968	A/Bilthoven/16398/1968	EPI_ISL_110745	1968-01-01	
A/Bilthoven/808/1969	A/Bilthoven/808/1969	EPI_ISL_110747	1969-01-01	
A/Bilthoven/2668/1970	A/Bilthoven/2668/1970	EPI_ISL_110777	XXXX-XX-XX	
A/Bilthoven/6449/1971	A/Bilthoven/6449/1971	EPI_ISL_110778	1971-01-01	
A/Bilthoven/6022/1972	A/Bilthoven/6022/1972	EPI_ISL_110780	1972-01-01	
A/Bilthoven/23337/1972	A/Bilthoven/23337/1972	EPI_ISL_110819	1972-01-01	
A/Bilthoven/748/1973	A/Bilthoven/748/1973	EPI_ISL_110820	1973-01-01	
A/Bilthoven/4273/1975	A/Bilthoven/4273/1975	EPI_ISL_110822	1975-01-01	
A/Bilthoven/4791/1981	A/Bilthoven/4791/1981	EPI_ISL_110862	1981-01-01	
A/Beijing/352/1989	A/Beijing/352/1989	EPI_ISL_110905	1989-01-01	
A/Eindhoven/3447/1989	A/Eindhoven/3447/1989	EPI_ISL_110906	1989-01-01	
A/Bilthoven/908/1969	A/Bilthoven/908/1969	EPI_ISL_113017	1969-01-01	
A/Bilthoven/17938/1969	A/Bilthoven/17938/1969	EPI_ISL_113035	1969-01-01	
A/Bilthoven/21438/1971	A/Bilthoven/21438/1971	EPI_ISL_113036	1971-01-01	
A/Bilthoven/21801/1971	A/Bilthoven/21801/1971	EPI_ISL_113037	1971-01-01	
A/Bilthoven/23290/1972	A/Bilthoven/23290/1972	EPI_ISL_113847	1972-01-01	
A/Bilthoven/552/1973	A/Bilthoven/552/1973	EPI_ISL_113864	1973-01-01	
A/Bilthoven/3517/1973	A/Bilthoven/3517/1973	EPI_ISL_113915	1973-01-01	
A/Bilthoven/5930/1974	A/Bilthoven/5930/1974	EPI_ISL_113917	1974-01-01	
A/Bilthoven/5931/1974	A/Bilthoven/5931/1974	EPI_ISL_113918	1974-01-01	
A/Bilthoven/7398/1974	A/Bilthoven/7398/1974	EPI_ISL_113919	1974-01-01	
A/Bilthoven/9459/1974	A/Bilthoven/9459/1974	EPI_ISL_113920	1974-01-01	
A/Bilthoven/334/1975	A/Bilthoven/334/1975	EPI_ISL_113921	1975-01-01	
A/Bilthoven/1843/1975	A/Bilthoven/1843/1975	EPI_ISL_113965	1975-01-01	
A/Bilthoven/2600/1975	A/Bilthoven/2600/1975	EPI_ISL_113966	1975-01-01	
A/Bilthoven/2813/1975	A/Bilthoven/2813/1975	EPI_ISL_113967	1975-01-01	
A/Bilthoven/5029/1976	A/Bilthoven/5029/1976	EPI_ISL_114014	1976-01-01	
A/Bilthoven/5657/1976	A/Bilthoven/5657/1976	EPI_ISL_114015	1976-01-01	
A/Bilthoven/6545/1976	A/Bilthoven/6545/1976	EPI_ISL_114016	1976-01-01	
A/Amsterdam/1609/1977	A/Amsterdam/1609/1977	EPI_ISL_114017	1977-01-01	
A/Bilthoven/3895/1977	A/Bilthoven/3895/1977	EPI_ISL_114018	1977-01-01	
A/Bilthoven/10684/1982	A/Bilthoven/10684/1982	EPI_ISL_114200	1982-01-01	
A/Colorado/2/1986	A/Colorado/2/1986	EPI_ISL_114293	1986-01-01	
A/Atlanta/3572/1988	A/Atlanta/3572/1988	EPI_ISL_114295	1988-01-01	
A/England/427/1988	A/England/427/1988	EPI_ISL_114296	1988-01-01	
A/Atlanta/211/1989	A/Atlanta/211/1989	EPI_ISL_114345	1989-01-01	
A/England/138/1989	A/England/138/1989	EPI_ISL_114346	1989-01-01	
A/Beijing/32/1992	A/Beijing/32/1992	EPI_ISL_114610	1992-01-01	
A/Akita/4/1993	A/Akita/4/1993	EPI_ISL_115040	1993-01-01	
A/Auckland/10/1997	A/Auckland/10/1997	EPI_ISL_115568	1997-08-01	
A/California/7/2004	A/California/7/2004	EPI_ISL_113070	2004-01-01	
A/Bangkok/1/1979	A/Bangkok/1/1979	EPI_ISL_115698	1979-01-01	
A/Beijing/353/1989	A/Beijing/353/1989	EPI_ISL_115769	1989-01-01	
A/Brisbane/8/1996	A/Brisbane/8/1996	EPI_ISL_115771	1996-01-01	
A/Guizhou/54/1989	A/Guizhou/54/89	EPI_ISL_702	1989-01-01	
A/Kumamoto/102/2002	A/Kumamoto/102/2002	EPI_ISL_11445	2002-12-25	
A/Ishikawa/102/2002	A/Ishikawa/102/2002	EPI_ISL_11491	2002-11-26	
A/Korea/770/2002	A/Korea/770/2002	EPI_ISL_11661	2002-12-02	
A/Hiroshima/52/2005	A/Hiroshima/52/2005	EPI_ISL_13228	2005-10-24	
A/Hiroshima/39/2004	A/HIROSHIMA/39/2004	EPI_ISL_17186	2004-01-26	
A/Gunma/16/2005	A/GUNMA/16/2005	EPI_ISL_17404	2005-01-17	
A/Kentucky/3/2006	A/Kentucky/3/2006	EPI_ISL_21271	2006-04-02	
A/Kitakyushu/5/2006	A/KITAKYUSHU/5/2006	EPI_ISL_17705	2006-01-20	
A/Idaho/2008/2003	A/Idaho/ID-2008/2003	EPI_ISL_17946	2003-11-06	
A/Guam/228/2002	A/Guam/228/2002	EPI_ISL_18392	2002-10-26	
A/Lyon/1292/2006	A/Lyon/1292/2006	EPI_ISL_20282	2006-12-18	
A/Lyon/1313/2006	A/Lyon/1313/2006	EPI_ISL_20284	2006-12-20	
A/Lyon/1324/2006	A/Lyon/1324/2006	EPI_ISL_20286	2006-12-20	
A/Incheon/677/2006	A/Incheon/677/2006	EPI_ISL_20293	2006-11-14	
A/HongKong/218/2006	A/Hong_Kong/218/2006	EPI_ISL_22000	2006-02-03	
A/HongKong/1952/2009	A/Hong_Kong/1952/2009	EPI_ISL_60839	2009-03-24	Government_Virus_Unit
A/HongKong/1985/2009	A/Hong_Kong/1985/2009	EPI_ISL_60840	2009-04-04	Government_Virus_Unit
A/Johannesburg/15/2008	A/Johannesburg/15/2008	EPI_ISL_60841	2008-06-26	National_Institute_for_Communicable_Disease
A/Finland/9/2008	A/Finland/9/2008	EPI_ISL_60842	2008-01-07	National_Institute_for_Health_and_Welfare
A/HongKong/2831/2005	A/Hong_Kong/2831/2005	EPI_ISL_64664	2005-05-25	
A/HongKong/34430/2009	A/Hong_Kong/34430/2009	EPI_ISL_66704	2009-11-22	Government_Virus_Unit
A/Fukuoka/15/2002	A/FUKUOKA/15/2002	EPI_ISL_67628	2002-02-23	
A/Florida/2/2006	A/Florida/2/2006	EPI_ISL_75939	2006-01-19	
A/Israel/24/2009	A/Israel/24/2009	EPI_ISL_77132	2009-11-01	Central_Virology_Laboratory_Israel_(NIC)
A/Israel/26/2009	A/Israel/26/2009	EPI_ISL_77133	2009-11-01	Central_Virology_Laboratory_Israel_(NIC)
A/Israel/22/2009	A/Israel/22/2009	EPI_ISL_77134	2009-11-01	Central_Virology_Laboratory_Israel_(NIC)
A/HongKong/3170/2010	A/Hong_Kong/3170/2010	EPI_ISL_81380	2010-08-20	Government_Virus_Unit
A/Florida/43/2010	A/Florida/43/2010	EPI_ISL_87876	2010-12-29	Florida_Department_of_Health-Jacksonville
A/Iowa/19/2010	A/IOWA/19/2010	EPI_ISL_88046	2010-12-30	Centers_for_Disease_Control_and_Prevention
A/Guadeloupe/202/2010	A/GUADELOUPE/202/2010	EPI_ISL_88048	2010-11-30	Centers_for_Disease_Control_and_Prevention
A/HongKong/3969/2011	A/Hong_Kong/3969/2011	EPI_ISL_94725	2011-05-19	Government_Virus_Unit
A/Johannesburg/73/2011	A/Johannesburg/73/2011	EPI_ISL_96029	2011-06-15	National_Institute_for_Communicable_Disease
A/Johannesburg/78/2011	A/Johannesburg/78/2011	EPI_ISL_96030	2011-06-20	National_Institute_for_Communicable_Disease
A/Johannesburg/79/2011	A/Johannesburg/79/2011	EPI_ISL_96031	2011-06-21	National_Institute_for_Communicable_Disease
A/Johannesburg/94/2011	A/Johannesburg/94/2011	EPI_ISL_96033	2011-06-24	National_Institute_for_Communicable_Disease
A/Johannesburg/99/2011	A/Johannesburg/99/2011	EPI_ISL_96034	2011-06-29	National_Institute_for_Communicable_Disease
A/Johannesburg/153/2011	A/Johannesburg/153/2011	EPI_ISL_96035	2011-07-05	National_Institute_for_Communicable_Disease
A/Johannesburg/113/2011	A/Johannesburg/113/2011	EPI_ISL_96036	2011-05-17	National_Institute_for_Communicable_Disease
A/Johannesburg/107/2011	A/Johannesburg/107/2011	EPI_ISL_96037	2011-06-29	National_Institute_for_Communicable_Disease
A/Johannesburg/114/2011	A/Johannesburg/114/2011	EPI_ISL_96038	2011-05-26	National_Institute_for_Communicable_Disease
A/HongKong/734/2001	A/Hong_Kong/734/2001	EPI_ISL_100391	2001-06-01	Government_Virus_Unit
A/HongKong/107/1971	A/Hong_Kong/107/1971	EPI_ISL_110779	1971-01-01	
A/Geneva/5007/1989	A/Geneva/5007/1989	EPI_ISL_110907	1989-01-01	
A/HongKong/1/1989	A/Hong_Kong/1/1989	EPI_ISL_110908	1989-01-01	
A/England/7/1994	A/England/7/1994	EPI_ISL_111129	1994-01-01	
A/HongKong/1/1994	A/Hong_Kong/1/1994	EPI_ISL_111130	1994-06-01	
A/HongKong/2/1994	A/Hong_Kong/2/1994	EPI_ISL_111131	1994-06-01	
A/HongKong/55/1995	A/Hong_Kong/55/1995	EPI_ISL_111173	1995-10-12	
A/HongKong/1/1997	A/Hong_Kong/1/1997	EPI_ISL_111271	1997-01-01	
A/Johannesburg/10/1997	A/Johannesburg/10/1997	EPI_ISL_111314	1997-07-01	
A/Fujian/411/2002	A/Fujian/411/2002	EPI_ISL_111384	2002-01-01	
A/Guildford/V728/1985	A/Guildford/V728/1985	EPI_ISL_114246	1985-01-01	
A/Lyon/1149/1991	A/Lyon/1149/1991	EPI_ISL_114504	1991-12-09	
A/Lyon/1182/1991	A/Lyon/1182/1991	EPI_ISL_114505	1991-12-12	
A/Guangdong/25/1993	A/Guangdong/25/1993	EPI_ISL_115110	1993-01-01	
A/HongKong/56/1994	A/Hong_Kong/56/1994	EPI_ISL_115414	1994-08-02	
A/Finland/338/1995	A/Finland/338/1995	EPI_ISL_115459	1995-01-01	
A/Finland/339/1995	A/Finland/339/1995	EPI_ISL_115460	1995-01-01	
A/Finland/381/1995	A/Finland/381/1995	EPI_ISL_115461	1995-01-01	
A/HongKong/3/1995	A/Hong_Kong/3/1995	EPI_ISL_115463	1995-01-24	
A/HongKong/49/1995	A/Hong_Kong/49/1995	EPI_ISL_115510	1995-09-01	
A/Geneva/3958/1996	A/Geneva/3958/1996	EPI_ISL_115513	1996-01-01	
A/HongKong/20/1996	A/Hong_Kong/20/1996	EPI_ISL_115514	1996-02-24	
A/HongKong/42/1996	A/Hong_Kong/42/1996	EPI_ISL_115515	1996-03-04	
A/HongKong/357/1996	A/Hong_Kong/357/1996	EPI_ISL_115563	1996-07-19	
A/HongKong/358/1996	A/Hong_Kong/358/1996	EPI_ISL_115564	1996-07-19	
A/HongKong/434/1996	A/Hong_Kong/434/1996	EPI_ISL_115565	1996-10-02	
A/Finland/170/2003	A/Finland/170/2003	EPI_ISL_115625	2003-01-01	
A/Moscow/10/1999	A/Moscow/10/99	EPI_ISL_2695	1999-01-01	
A/NorthCarolina/13/2005	A/North_Carolina/13/2005	EPI_ISL_11608	2005-08-04	
A/Malaysia/1/2004	A/Malaysia/1/2004	EPI_ISL_11955	2004-01-02	
A/Nevada/5/2007	A/Nevada/05/2007	EPI_ISL_15411	2007-10-05	
A/Mississippi/5/2004	A/Mississippi/5/2004	EPI_ISL_21236	2004-12-14	
A/Nepal/1646/2004	A/NEPAL/1646/2004	EPI_ISL_17243	2004-07-01	
A/NorthDakota/1/2004	A/North_Dakota/1/2004	EPI_ISL_21241	2004-10-20	
A/Lyon/1381/2007	A/Lyon/1381/2007	EPI_ISL_19157	2007-12-18	
A/Lyon/1331/2006	A/Lyon/1331/2006	EPI_ISL_20288	2006-12-22	
A/Lyon/1359/2006	A/Lyon/1359/2006	EPI_ISL_20289	2006-12-27	
A/NewYork/55/2004	A/New_York/55/2004	EPI_ISL_22628	2004-11-18	
A/Lyon/636/2006	A/LYON/636/2006	EPI_ISL_64166	2006-02-27	
A/Montana/439520/2005	A/Montana/MT-439520-ORIGINAL/2005	EPI_ISL_64714	2005-01-28	
A/NewCaledonia/20/2003	A/New_Caledonia/20/2003	EPI_ISL_67242	2003-10-14	
A/Mississippi/1/1985	A/Mississippi/1/	EPI_ISL_68905	1985-01-01	
A/NordrheinWestfalen/1/2010	A/Nordrhein-Westfalen/1/2010	EPI_ISL_77118	2010-01-05	Robert_Koch_Institute_Nationales_Referenzzentrum_f?r_Influenza
A/Lyon/Cx-R/3120/2009	A/Lyon/Cx-R/3120/2009	EPI_ISL_77121	2009-01-01	Hospices_Civils_de_Lyon
A/Netherlands/301/1999	A/Netherlands/301/1999	EPI_ISL_84904	1999-01-01	
A/Minnesota/17/2010	A/Minnesota/17/2010	EPI_ISL_87923	2010-12-06	Minnesota_Department_of_Health
A/Montana/5/2011	A/Montana/05/2011	EPI_ISL_89798	2011-03-02	Montana_Public_Health_Laboratory
A/Madrid/G102/1993	A/Madrid/G102/1993	EPI_ISL_111020	1993-01-01	
A/Netherlands/3/1993	A/Netherlands/3/1993	EPI_ISL_111022	1992-11-22	
A/Netherlands/241/1993	A/Netherlands/241/1993	EPI_ISL_111044	1993-10-13	
A/Nanchang/933/1995	A/Nanchang/933/1995	EPI_ISL_111174	1995-01-01	
A/Netherlands/271/1995	A/Netherlands/271/1995	EPI_ISL_111181	1995-12-02	
A/Nice/491/1997	A/Nice/491/1997	EPI_ISL_111339	1996-12-30	
A/Netherlands/427/1998	A/Netherlands/427/1998	EPI_ISL_111373	1998-11-16	
A/Netherlands/118/2001	A/Netherlands/118/2001	EPI_ISL_111376	2001-03-14	
A/Netherlands/1/2002	A/Netherlands/1/2002	EPI_ISL_110654	2002-01-07	
A/Netherlands/22/2003	A/Netherlands/22/2003	EPI_ISL_110690	2003-02-23	
A/Netherlands/209/1980	A/Netherlands/209/1980	EPI_ISL_114198	1980-12-01	
A/Lyon/2380/1981	A/Lyon/2380/1981	EPI_ISL_114199	1981-01-01	
A/Netherlands/241/1982	A/Netherlands/241/1982	EPI_ISL_114201	1982-12-01	
A/Netherlands/330/1985	A/Netherlands/330/1985	EPI_ISL_114247	1985-01-01	
A/Netherlands/333/1985	A/Netherlands/333/1985	EPI_ISL_114248	1985-02-01	
A/Netherlands/450/1988	A/Netherlands/450/1988	EPI_ISL_114297	1988-03-01	
A/Netherlands/620/1989	A/Netherlands/620/1989	EPI_ISL_114347	1989-11-27	
A/Netherlands/650/1989	A/Netherlands/650/1989	EPI_ISL_114348	1989-12-13	
A/Netherlands/738/1989	A/Netherlands/738/1989	EPI_ISL_114349	1989-12-17	
A/Memphis/2/1990	A/Memphis/2/1990	EPI_ISL_114452	1990-01-01	
A/Memphis/5/1990	A/Memphis/5/1990	EPI_ISL_114453	1990-01-01	
A/Lyon/24222/1991	A/Lyon/24222/1991	EPI_ISL_114559	1991-12-26	
A/Madrid/G12/1991	A/Madrid/G12/1991	EPI_ISL_114607	1991-01-01	
A/Netherlands/816/1991	A/Netherlands/816/1991	EPI_ISL_114608	1991-12-19	
A/Netherlands/891/1991	A/Netherlands/891/1991	EPI_ISL_114609	1991-12-04	
A/Madrid/G58/1992	A/Madrid/G58/1992	EPI_ISL_114657	1992-01-14	
A/Netherlands/935/1992	A/Netherlands/935/1992	EPI_ISL_114659	1992-01-10	
A/Netherlands/938/1992	A/Netherlands/938/1992	EPI_ISL_114660	1991-12-19	
A/Netherlands/823/1992	A/Netherlands/823/1992	EPI_ISL_114661	1992-02-03	
A/Nijmegen/3126/1992	A/Nijmegen/3126/1992	EPI_ISL_114705	1992-01-09	
A/Nijmegen/3129/1992	A/Nijmegen/3129/1992	EPI_ISL_114706	1992-02-07	
A/Lyon/672/1993	A/Lyon/672/1993	EPI_ISL_115111	1993-02-22	
A/Madrid/G122/1993	A/Madrid/G122/1993	EPI_ISL_115300	1993-01-01	
A/Madrid/G109/1993	A/Madrid/G109/1993	EPI_ISL_115302	1993-01-01	
A/Madrid/G252/1993	A/Madrid/G252/1993	EPI_ISL_115304	1993-01-01	
A/Netherlands/101/1993	A/Netherlands/101/1993	EPI_ISL_115305	1993-02-15	
A/Netherlands/126/1993	A/Netherlands/126/1993	EPI_ISL_115353	1993-02-23	
A/Netherlands/18/1994	A/Netherlands/18/1994	EPI_ISL_115458	1994-01-05	
A/Lyon/2279/1995	A/Lyon/2279/1995	EPI_ISL_115511	1995-11-20	
A/Netherlands/1/1995	A/Netherlands/1/1995	EPI_ISL_115512	1995-01-11	
A/Lyon/1781/1996	A/Lyon/1781/1996	EPI_ISL_115566	1996-10-26	
A/Netherlands/91/1996	A/Netherlands/91/1996	EPI_ISL_115567	1996-01-30	
A/Netherlands/300/1997	A/Netherlands/300/1997	EPI_ISL_115619	1997-12-23	
A/Netherlands/462/1998	A/Netherlands/462/1998	EPI_ISL_115620	1998-12-16	
A/Netherlands/3/2000	A/Netherlands/3/2000	EPI_ISL_115621	2000-01-06	
A/Netherlands/124/2001	A/Netherlands/124/2001	EPI_ISL_115622	2001-03-20	
A/Netherlands/126/2001	A/Netherlands/126/2001	EPI_ISL_115623	2001-03-21	
A/Netherlands/5/1998	A/Netherlands/5/1998	EPI_ISL_115772	1998-01-14	
A/Pusan/504/2002	A/Pusan/504/2002	EPI_ISL_3919	2002-01-01	
A/Paris/490/1992	A/Paris/490/92	EPI_ISL_4296	1992-01-01	
A/Panama/2007/1999	A/Panama/2007/1999	EPI_ISL_2674	1999-01-01	
A/Philippines/825/2003	A/Philippines/825/2003	EPI_ISL_11977	2003-07-29	
A/Singapore/36/2004	A/Singapore/36/2004	EPI_ISL_21116	2004-06-15	
A/Singapore/37/2004	A/Singapore/37/2004	EPI_ISL_12068	2004-06-07	
A/Philippines/472/2002	A/PHILIPPINES/472/2002	EPI_ISL_16949	2002-07-18	
A/Peru/1296/2004	A/PERU/1296/2004	EPI_ISL_17285	2004-01-22	
A/Okayama/29/2005	A/OKAYAMA/29/2005	EPI_ISL_17495	2005-12-11	
